living_in_m2,bedrooms,grade,price
138.42547,2,2,312000
105.90942,2,2,310000
117.98681,2,2,320000
151.43189,2,3,264500
341.88304,3,2,700000
84.54173,1,2,445000
135.63838,2,2,240500
139.3545,1,1,235000
105.90942,2,2,206000
118.91584,2,3,545000
347.45722,3,5,475000
206.24466,3,3,456000
145.85771,2,2,478000
269.4187,3,4,690000
297.2896,3,4,675000
167.2254,2,2,442500
266.63161,3,3,540000
163.50928,3,2,255000
136.56741,2,2,399950
178.37376,3,2,455000
91.97397,1,2,435000
234.11556,3,3,470000
93.83203,1,1,155000
79.89658,2,1,82000
261.98646,3,4,650000
93.83203,1,1,219950
136.102895,1,2,489000
143.07062,3,2,442500
157.00607,2,2,314950
114.27069,1,3,575000
207.17369,3,3,740000
200.67048,2,3,820000
188.59309,2,4,700000
104.98039,2,1,227000
185.806,3,3,260000
97.54815,2,1,208000
211.81884,2,3,625000
184.87697,2,2,359000
230.39944,3,2,630000
111.4836,2,2,205000
211.81884,3,3,539500
169.08346,3,2,261000
183.01891,3,2,423000
179.30279,3,2,513000
225.75429,2,4,690000
128.20614,2,2,455000
306.5799,3,4,849990
114.27069,3,2,340000
206.24466,3,2,225000
95.69009,1,1,250000
164.43831,2,1,315000
264.77355,2,5,799990
142.14159,2,2,450000
160.72219,3,2,425000
156.07704,2,2,489900
217.39302,2,3,438000
149.57383,2,3,292000
203.45757,3,3,730000
110.55457,2,1,245000
250.8381,3,4,426500
117.98681,2,2,499000
165.36734,3,2,395000
260.1284,3,4,863000
236.90265,3,2,460000
80.82561,1,1,157000
178.37376,3,2,589000
147.71577,3,2,372500
248.05101,3,4,630000
212.74787,3,2,425000
88.25785,1,3,162950
196.95436,3,4,475000
202.52854,3,2,302000
91.97397,1,1,220500
248.05101,3,3,400000
95.69009,1,1,212500
161.65122,2,3,496700
179.30279,3,1,230000
371.612,3,4,802945
139.3545,3,2,215000
125.41905,1,3,395000
176.5157,2,3,560000
179.30279,1,3,509000
232.2575,3,2,495000
124.49002,2,2,621000
144.92868,3,2,537000
284.28318,2,5,715000
157.9351,2,2,300000
232.814918,3,2,365070
118.91584,1,2,370000
89.18688,1,2,525000
329.80565,3,4,810000
351.17334,2,5,1153000
139.3545,2,2,185000
232.2575,2,3,425000
184.87697,2,2,245000
143.99965,3,1,250000
235.97362,2,5,510000
331.66371,2,4,725000
173.72861,1,1,390000
201.59951,2,2,225000
388.33454,3,4,1040890
200.67048,3,3,555000
236.90265,2,2,675000
72.46434,1,2,464050
125.41905,2,3,389000
176.5157,3,2,542000
100.33524,1,1,345000
119.84487,1,2,275000
265.70258,3,3,670000
305.65087,3,3,739900
245.26392,3,4,650000
303.79281,3,4,785000
216.46399,3,3,1150000
85.47076,1,1,475000
139.3545,2,2,525000
267.56064,3,5,845000
289.85736,3,2,653000
278.709,3,3,759900
187.66406,3,2,488000
139.3545,2,1,295000
102.1933,2,2,229900
170.01249,2,2,450000
268.48967,2,3,1072500
129.13517,1,2,185000
247.12198,3,4,729000
208.10272,3,2,455000
214.60593,2,4,765000
292.64445,3,4,680000
137.49644,2,1,290000
